text,text_raw,label
"the debug command in sendmail is enabled, allowing attackers to execute commands as root.","The debug command in Sendmail is enabled, allowing attackers to execute commands as root.",Alta
cwd ~root command in ftpd allows root access.,CWD ~root command in ftpd allows root access.,Alta
buffer overflow in passwd in bsd based operating systems 4.3 and earlier allows local users to gain root privileges by specifying a long shell or gecos field.,Buffer overflow in passwd in BSD based operating systems 4.3 and earlier allows local users to gain root privileges by specifying a long shell or GECOS field.,Alta
vulnerability in restore in sunos 4.0.3 and earlier allows local users to gain privileges.,Vulnerability in restore in SunOS 4.0.3 and earlier allows local users to gain privileges.,Média
"vulnerability in rcp on sunos 4.0.x allows remote attackers from trusted hosts to execute arbitrary commands as root, possibly related to the configuration of the nobody user.","Vulnerability in rcp on SunOS 4.0.x allows remote attackers from trusted hosts to execute arbitrary commands as root, possibly related to the configuration of the nobody user.",Alta
"vulnerability in smi sendmail 4.0 and earlier, on sunos up to 4.0.3, allows remote attackers to access user bin.","Vulnerability in SMI Sendmail 4.0 and earlier, on SunOS up to 4.0.3, allows remote attackers to access user bin.",Alta
cwe: cwe-269 | certain nfs servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the uid to 0.,cwe: cwe-269 | Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.,Alta
buffer overflow in freebsd libmytinfo library allows local users to execute commands via a long termcap environmental variable.,Buffer overflow in FreeBSD libmytinfo library allows local users to execute commands via a long TERMCAP environmental variable.,Alta
the sunview (suntools) selection_svc facility allows remote users to read files.,The SunView (SunTools) selection_svc facility allows remote users to read files.,Média
"builddisk program on next systems before 2.0 does not prompt users for the root password, which allows local users to gain root privileges.","BuildDisk program on NeXT systems before 2.0 does not prompt users for the root password, which allows local users to gain root privileges.",Alta
vulnerability in next 1.0a and 1.0 with publicly accessible printers allows local users to gain privileges via a combination of the npd program and weak directory permissions.,Vulnerability in NeXT 1.0a and 1.0 with publicly accessible printers allows local users to gain privileges via a combination of the npd program and weak directory permissions.,Alta
vulnerability in restore0.9 installation script in next 1.0a and 1.0 allows local users to gain root privileges.,Vulnerability in restore0.9 installation script in NeXT 1.0a and 1.0 allows local users to gain root privileges.,Alta
vms 4.0 through 5.3 allows local users to gain privileges via the analyze/process_dump dcl command.,VMS 4.0 through 5.3 allows local users to gain privileges via the ANALYZE/PROCESS_DUMP dcl command.,Média
"/usr/sbin/mail on sgi irix 3.3 and 3.3.1 does not properly set the group id to the group id of the user who started mail, which allows local users to read the mail of other users.","/usr/sbin/Mail on SGI IRIX 3.3 and 3.3.1 does not properly set the group ID to the group ID of the user who started Mail, which allows local users to read the mail of other users.",Baixa
"tioccons in sunos 4.1.1 does not properly check the permissions of a user who tries to redirect console output and input, which could allow a local user to gain privileges.","TIOCCONS in SunOS 4.1.1 does not properly check the permissions of a user who tries to redirect console output and input, which could allow a local user to gain privileges.",Alta
"vulnerability in the /etc/suid_exec program in hp apollo domain/os sr10.2 and sr10.3 beta, related to the korn shell (ksh).","Vulnerability in the /etc/suid_exec program in HP Apollo Domain/OS sr10.2 and sr10.3 beta, related to the Korn Shell (ksh).",Alta
"rpc.pwdauthd in sunos 4.1.1 and earlier does not properly prevent remote access to the daemon, which allows remote attackers to obtain sensitive system information.","rpc.pwdauthd in SunOS 4.1.1 and earlier does not properly prevent remote access to the daemon, which allows remote attackers to obtain sensitive system information.",Média
vulnerability in /bin/mail in sunos 4.1.1 and earlier allows local users to gain root privileges via certain command line arguments.,Vulnerability in /bin/mail in SunOS 4.1.1 and earlier allows local users to gain root privileges via certain command line arguments.,Alta
vulnerability in in.telnetd in sunos 4.1.1 and earlier allows local users to gain root privileges.,Vulnerability in in.telnetd in SunOS 4.1.1 and earlier allows local users to gain root privileges.,Alta
vulnerability in in.rlogind in sunos 4.0.3 and 4.0.3c allows local users to gain root privileges.,Vulnerability in in.rlogind in SunOS 4.0.3 and 4.0.3c allows local users to gain root privileges.,Alta
"chroot in digital ultrix 4.1 and 4.0 is insecurely installed, which allows local users to gain privileges.","chroot in Digital Ultrix 4.1 and 4.0 is insecurely installed, which allows local users to gain privileges.",Alta
"the ""me"" user in next nextstep 2.1 and earlier has wheel group privileges, which could allow the me user to use the su command to become root.","The ""me"" user in NeXT NeXTstep 2.1 and earlier has wheel group privileges, which could allow the me user to use the su command to become root.",Alta
the installation of sun source (sunsrc) tapes allows local users to gain root privileges via setuid root programs (1) makeinstall or (2) winstall.,The installation of Sun Source (sunsrc) tapes allows local users to gain root privileges via setuid root programs (1) makeinstall or (2) winstall.,Alta
vulnerability in login in at&t system v release 4 allows local users to gain privileges.,Vulnerability in login in AT&T System V Release 4 allows local users to gain privileges.,Alta
vulnerability in /usr/bin/mail in dec ultrix before 4.2 allows local users to gain privileges.,Vulnerability in /usr/bin/mail in DEC ULTRIX before 4.2 allows local users to gain privileges.,Média
"the default configuration of ncsa telnet package for macintosh and pc enables ftp, even though it does not include an ""ftp=yes"" line, which allows remote attackers to read and modify arbitrary files.","The default configuration of NCSA Telnet package for Macintosh and PC enables FTP, even though it does not include an ""ftp=yes"" line, which allows remote attackers to read and modify arbitrary files.",Alta
"tftp is not running in a restricted directory, allowing a remote attacker to access sensitive information such as password files.","TFTP is not running in a restricted directory, allowing a remote attacker to access sensitive information such as password files.",Alta
"rdist in various unix systems uses popen to execute sendmail, which allows local users to gain root privileges by modifying the ifs (internal field separator) variable.","rdist in various UNIX systems uses popen to execute sendmail, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable.",Média
"in sunos, nfs file handles could be guessed, giving unauthorized access to the exported file system.","In SunOS, NFS file handles could be guessed, giving unauthorized access to the exported file system.",Média
"vulnerability in crp in hewlett packard apollo domain os sr10 through sr10.3 allows remote attackers to gain root privileges via insecure system calls, (1) pad_$dm_cmd and (2) pad_$def_pfk().","Vulnerability in crp in Hewlett Packard Apollo Domain OS SR10 through SR10.3 allows remote attackers to gain root privileges via insecure system calls, (1) pad_$dm_cmd and (2) pad_$def_pfk().",Alta
vulnerability in lat/telnet gateway (lattelnet) on ultrix 4.1 and 4.2 allows attackers to gain root privileges.,Vulnerability in LAT/Telnet Gateway (lattelnet) on Ultrix 4.1 and 4.2 allows attackers to gain root privileges.,Alta
vulnerability in rexec daemon (rexecd) in at&t tcp/ip 4.0 for various svr4 systems allows remote attackers to execute arbitrary commands.,Vulnerability in rexec daemon (rexecd) in AT&T TCP/IP 4.0 for various SVR4 systems allows remote attackers to execute arbitrary commands.,Alta
"the rexd service is running, which uses weak authentication that can allow an attacker to execute commands.","The rexd service is running, which uses weak authentication that can allow an attacker to execute commands.",Baixa
the default configuration for uucp in aix before 3.2 allows local users to gain root privileges.,The default configuration for UUCP in AIX before 3.2 allows local users to gain root privileges.,Alta
aix passwd allows local users to gain root access.,AIX passwd allows local users to gain root access.,Alta
"ftp installation script anon.ftp in aix insecurely configures anonymous ftp, which allows remote attackers to execute arbitrary commands.","FTP installation script anon.ftp in AIX insecurely configures anonymous FTP, which allows remote attackers to execute arbitrary commands.",Alta
"sunos 4.1.2 and earlier allows local users to gain privileges via ""ld_*"" environmental variables to certain dynamically linked setuid or setgid programs such as (1) login, (2) su, or (3) sendmail, that change the real and effective user ids to the same user.","SunOS 4.1.2 and earlier allows local users to gain privileges via ""LD_*"" environmental variables to certain dynamically linked setuid or setgid programs such as (1) login, (2) su, or (3) sendmail, that change the real and effective user ids to the same user.",Alta
"the portmapper may act as a proxy and redirect service requests from an attacker, making the request appear to come from the local host, possibly bypassing authentication that would otherwise have taken place. for example, nfs file systems could be mounted through the portmapper despite export restrictions.","The portmapper may act as a proxy and redirect service requests from an attacker, making the request appear to come from the local host, possibly bypassing authentication that would otherwise have taken place.  For example, NFS file systems could be mounted through the portmapper despite export restrictions.",Alta
denial of service by sending forged icmp unreachable packets.,Denial of service by sending forged ICMP unreachable packets.,Alta
