Modelo,F1-macro,Acurácia,Precisão,Recall,MCC,Kappa,F1-Alta,F1-Média,F1-Baixa
NB-Lamkanfi (BoW+Stem),0.452 ± 0.029,0.498 ± 0.027,0.453 ± 0.028,0.453 ± 0.031,0.185 ± 0.045,0.185 ± 0.045,0.288 ± 0.046,0.509 ± 0.020,0.560 ± 0.034
NB-Complement (BoW+Stem),0.462 ± 0.024,0.494 ± 0.030,0.459 ± 0.025,0.471 ± 0.023,0.195 ± 0.044,0.194 ± 0.044,0.335 ± 0.018,0.489 ± 0.035,0.561 ± 0.036
NB (TF-IDF),0.468 ± 0.029,0.488 ± 0.028,0.467 ± 0.027,0.489 ± 0.031,0.206 ± 0.042,0.203 ± 0.041,0.371 ± 0.048,0.497 ± 0.035,0.535 ± 0.034
LogReg (TF-IDF),0.517 ± 0.040,0.546 ± 0.038,0.515 ± 0.040,0.522 ± 0.039,0.269 ± 0.059,0.269 ± 0.059,0.409 ± 0.056,0.543 ± 0.047,0.599 ± 0.035
SVM (TF-IDF),0.507 ± 0.032,0.526 ± 0.033,0.510 ± 0.025,0.538 ± 0.028,0.276 ± 0.038,0.270 ± 0.040,0.413 ± 0.051,0.527 ± 0.045,0.582 ± 0.034
Decision Tree (TF-IDF),0.426 ± 0.021,0.472 ± 0.025,0.428 ± 0.021,0.427 ± 0.023,0.141 ± 0.044,0.141 ± 0.044,0.265 ± 0.060,0.511 ± 0.044,0.503 ± 0.032
RF (Emb),0.495 ± 0.030,0.540 ± 0.023,0.509 ± 0.032,0.488 ± 0.028,0.240 ± 0.040,0.239 ± 0.039,0.347 ± 0.068,0.559 ± 0.024,0.578 ± 0.031
KNN (Emb),0.400 ± 0.031,0.403 ± 0.033,0.449 ± 0.030,0.468 ± 0.027,0.169 ± 0.042,0.151 ± 0.039,0.340 ± 0.021,0.437 ± 0.051,0.424 ± 0.051
XGBoost (Emb),0.495 ± 0.023,0.529 ± 0.023,0.502 ± 0.027,0.491 ± 0.021,0.228 ± 0.034,0.227 ± 0.034,0.380 ± 0.050,0.534 ± 0.037,0.570 ± 0.027
LightGBM (Emb),0.485 ± 0.028,0.539 ± 0.024,0.514 ± 0.033,0.477 ± 0.026,0.230 ± 0.040,0.229 ± 0.040,0.319 ± 0.055,0.553 ± 0.024,0.583 ± 0.030
CatBoost (Emb),0.493 ± 0.025,0.526 ± 0.022,0.503 ± 0.026,0.489 ± 0.026,0.222 ± 0.037,0.222 ± 0.037,0.382 ± 0.050,0.545 ± 0.024,0.552 ± 0.034
MLP (Emb),0.501 ± 0.026,0.538 ± 0.024,0.507 ± 0.024,0.499 ± 0.028,0.243 ± 0.042,0.243 ± 0.042,0.377 ± 0.044,0.542 ± 0.028,0.585 ± 0.035
ELM (Emb),0.442 ± 0.044,0.472 ± 0.039,0.442 ± 0.042,0.452 ± 0.048,0.168 ± 0.062,0.167 ± 0.062,0.311 ± 0.079,0.499 ± 0.039,0.516 ± 0.045
★ Stacking (Híbrido),0.515 ± 0.028,0.532 ± 0.028,0.514 ± 0.027,0.547 ± 0.030,0.280 ± 0.044,0.274 ± 0.043,0.440 ± 0.036,0.512 ± 0.036,0.593 ± 0.039
⬥ Voto Ponderado (Fusão),0.514 ± 0.029,0.542 ± 0.025,0.513 ± 0.029,0.519 ± 0.029,0.263 ± 0.039,0.262 ± 0.038,0.407 ± 0.057,0.552 ± 0.027,0.583 ± 0.026
◈ Comb. Dinâmica (KNN+MQ),0.355 ± 0.035,0.377 ± 0.041,0.354 ± 0.037,0.360 ± 0.032,0.002 ± 0.058,0.002 ± 0.058,0.269 ± 0.033,0.389 ± 0.041,0.406 ± 0.065
