Modelo,F1-macro,Acurácia,Precisão,Recall,MCC,Kappa,F1-Alta,F1-Média,F1-Baixa
NB-Lamkanfi (BoW+Stem),0.674 ± 0.025,0.692 ± 0.024,0.683 ± 0.027,0.669 ± 0.023,0.507 ± 0.037,0.506 ± 0.037,0.731 ± 0.028,0.689 ± 0.027,0.601 ± 0.049
NB-Complement (BoW+Stem),0.672 ± 0.030,0.687 ± 0.032,0.670 ± 0.032,0.678 ± 0.027,0.506 ± 0.047,0.505 ± 0.047,0.737 ± 0.032,0.672 ± 0.039,0.608 ± 0.041
NB (TF-IDF),0.641 ± 0.030,0.655 ± 0.032,0.635 ± 0.029,0.662 ± 0.030,0.470 ± 0.048,0.466 ± 0.049,0.712 ± 0.039,0.645 ± 0.038,0.565 ± 0.036
LogReg (TF-IDF),0.697 ± 0.033,0.707 ± 0.031,0.690 ± 0.034,0.712 ± 0.030,0.543 ± 0.046,0.541 ± 0.047,0.747 ± 0.028,0.694 ± 0.037,0.650 ± 0.050
SVM (TF-IDF),0.707 ± 0.031,0.718 ± 0.033,0.701 ± 0.033,0.718 ± 0.029,0.557 ± 0.050,0.555 ± 0.050,0.761 ± 0.031,0.698 ± 0.043,0.660 ± 0.036
Decision Tree (TF-IDF),0.679 ± 0.038,0.689 ± 0.039,0.688 ± 0.034,0.694 ± 0.022,0.522 ± 0.038,0.515 ± 0.045,0.710 ± 0.022,0.701 ± 0.044,0.625 ± 0.062
RF (Emb),0.644 ± 0.024,0.660 ± 0.024,0.656 ± 0.030,0.639 ± 0.023,0.455 ± 0.035,0.454 ± 0.035,0.682 ± 0.031,0.667 ± 0.023,0.585 ± 0.044
KNN (Emb),0.539 ± 0.032,0.547 ± 0.035,0.564 ± 0.031,0.589 ± 0.033,0.350 ± 0.047,0.332 ± 0.046,0.613 ± 0.051,0.530 ± 0.035,0.473 ± 0.033
XGBoost (Emb),0.643 ± 0.027,0.659 ± 0.028,0.645 ± 0.029,0.645 ± 0.027,0.457 ± 0.043,0.457 ± 0.043,0.687 ± 0.038,0.663 ± 0.029,0.580 ± 0.050
LightGBM (Emb),0.662 ± 0.024,0.682 ± 0.026,0.672 ± 0.027,0.656 ± 0.024,0.489 ± 0.041,0.488 ± 0.041,0.716 ± 0.037,0.684 ± 0.028,0.585 ± 0.040
CatBoost (Emb),0.613 ± 0.034,0.624 ± 0.036,0.607 ± 0.034,0.629 ± 0.033,0.414 ± 0.054,0.412 ± 0.054,0.647 ± 0.050,0.632 ± 0.036,0.559 ± 0.042
MLP (Emb),0.652 ± 0.029,0.668 ± 0.024,0.653 ± 0.031,0.653 ± 0.027,0.472 ± 0.037,0.472 ± 0.037,0.705 ± 0.024,0.665 ± 0.020,0.587 ± 0.054
ELM (Emb),0.569 ± 0.030,0.581 ± 0.029,0.565 ± 0.029,0.591 ± 0.032,0.356 ± 0.046,0.352 ± 0.045,0.624 ± 0.031,0.576 ± 0.043,0.507 ± 0.044
★ Stacking (Híbrido),0.700 ± 0.027,0.710 ± 0.026,0.692 ± 0.027,0.717 ± 0.024,0.550 ± 0.039,0.547 ± 0.039,0.754 ± 0.020,0.693 ± 0.034,0.652 ± 0.033
⬥ Voto Ponderado (Fusão),0.683 ± 0.025,0.697 ± 0.024,0.681 ± 0.027,0.689 ± 0.023,0.521 ± 0.036,0.520 ± 0.037,0.736 ± 0.027,0.688 ± 0.028,0.626 ± 0.034
◈ Comb. Dinâmica (KNN+MQ),0.342 ± 0.021,0.376 ± 0.026,0.372 ± 0.020,0.372 ± 0.025,0.103 ± 0.031,0.094 ± 0.029,0.621 ± 0.028,0.201 ± 0.039,0.205 ± 0.026
