Modelo,F1-macro,Acurácia,Precisão,Recall,MCC,Kappa,F1-Alta,F1-Média,F1-Baixa
NB (TF-IDF),0.653 ± 0.023,0.666 ± 0.025,0.648 ± 0.021,0.681 ± 0.021,0.490 ± 0.036,0.485 ± 0.037,0.723 ± 0.040,0.649 ± 0.033,0.587 ± 0.032
LogReg (TF-IDF),0.702 ± 0.027,0.715 ± 0.027,0.698 ± 0.030,0.710 ± 0.024,0.551 ± 0.040,0.550 ± 0.040,0.762 ± 0.032,0.699 ± 0.035,0.646 ± 0.060
SVM (TF-IDF),0.704 ± 0.024,0.717 ± 0.024,0.698 ± 0.026,0.714 ± 0.022,0.555 ± 0.036,0.553 ± 0.036,0.764 ± 0.026,0.700 ± 0.033,0.648 ± 0.041
Decision Tree (TF-IDF),0.691 ± 0.019,0.700 ± 0.020,0.699 ± 0.023,0.692 ± 0.020,0.526 ± 0.031,0.522 ± 0.032,0.710 ± 0.028,0.709 ± 0.030,0.655 ± 0.034
RF (Emb),0.644 ± 0.024,0.660 ± 0.024,0.656 ± 0.030,0.639 ± 0.023,0.455 ± 0.035,0.454 ± 0.035,0.682 ± 0.031,0.667 ± 0.023,0.585 ± 0.044
KNN (Emb),0.508 ± 0.028,0.513 ± 0.029,0.556 ± 0.036,0.571 ± 0.034,0.325 ± 0.048,0.297 ± 0.042,0.583 ± 0.048,0.490 ± 0.031,0.451 ± 0.029
XGBoost (Emb),0.643 ± 0.027,0.659 ± 0.028,0.645 ± 0.029,0.645 ± 0.027,0.457 ± 0.043,0.457 ± 0.043,0.687 ± 0.038,0.663 ± 0.029,0.580 ± 0.050
LightGBM (Emb),0.662 ± 0.024,0.682 ± 0.026,0.672 ± 0.027,0.656 ± 0.024,0.489 ± 0.041,0.488 ± 0.041,0.716 ± 0.037,0.684 ± 0.028,0.585 ± 0.040
CatBoost (Emb),0.613 ± 0.034,0.624 ± 0.036,0.607 ± 0.034,0.629 ± 0.033,0.414 ± 0.054,0.412 ± 0.054,0.647 ± 0.050,0.632 ± 0.036,0.559 ± 0.042
MLP (Emb),0.652 ± 0.029,0.668 ± 0.024,0.653 ± 0.031,0.653 ± 0.027,0.472 ± 0.037,0.472 ± 0.037,0.705 ± 0.024,0.665 ± 0.020,0.587 ± 0.054
★ Stacking (Híbrido),0.699 ± 0.024,0.711 ± 0.022,0.691 ± 0.023,0.716 ± 0.022,0.550 ± 0.031,0.548 ± 0.032,0.756 ± 0.022,0.696 ± 0.026,0.644 ± 0.043
⬥ Voto Ponderado (Fusão),0.683 ± 0.033,0.696 ± 0.030,0.679 ± 0.035,0.692 ± 0.029,0.522 ± 0.044,0.521 ± 0.045,0.737 ± 0.029,0.687 ± 0.032,0.625 ± 0.058
